method,N,seed,near_P@30,near_Recall@30,near_P@100,near_Recall@100,strict_Recall@30,strict_Recall@100
Ridge(one-hot),50,7,0.13333333333333333,0.09523809523809526,0.16999999999999998,0.4047619047619048,0.0,0.4000000000000001
Ridge(compact),50,7,0.13333333333333333,0.09523809523809526,0.21000000000000002,0.5,0.0,0.8000000000000002
MutCount (0 labels),50,8,0.23833333333333334,0.17439024390243904,0.11100000000000002,0.27073170731707324,0.4000000000000001,0.4000000000000001
Random,50,8,0.0,0.0,0.0,0.0,0.0,0.0
Ridge(one-hot),50,8,0.16666666666666663,0.12195121951219515,0.18000000000000002,0.4390243902439025,0.20000000000000004,0.4000000000000001
Ridge(compact),50,8,0.16666666666666663,0.12195121951219515,0.16999999999999998,0.41463414634146345,0.20000000000000004,0.5999999999999999
MutCount (0 labels),50,9,0.24500000000000002,0.17926829268292685,0.1075,0.2621951219512196,0.4000000000000001,0.4000000000000001
Random,50,9,0.03333333333333333,0.02439024390243903,0.07000000000000002,0.1707317073170732,0.20000000000000004,0.20000000000000004
Ridge(one-hot),50,9,0.16666666666666663,0.12195121951219515,0.12000000000000002,0.29268292682926833,0.20000000000000004,0.20000000000000004
Ridge(compact),50,9,0.16666666666666663,0.12195121951219515,0.12000000000000002,0.29268292682926833,0.20000000000000004,0.20000000000000004
MutCount (0 labels),50,10,0.24333333333333335,0.1738095238095238,0.11000000000000001,0.2619047619047619,0.4000000000000001,0.4000000000000001
Random,50,10,0.06666666666666667,0.04761904761904763,0.020000000000000004,0.04761904761904763,0.0,0.0
Ridge(one-hot),50,10,0.4333333333333334,0.3095238095238095,0.16999999999999998,0.4047619047619048,0.4000000000000001,0.4000000000000001
Ridge(compact),50,10,0.3666666666666666,0.2619047619047619,0.22000000000000003,0.5238095238095238,0.20000000000000004,0.8000000000000002
MutCount (0 labels),50,11,0.20833333333333334,0.15624999999999997,0.09600000000000002,0.24,0.25,0.25
Random,50,11,0.0,0.0,0.04000000000000001,0.10000000000000002,0.0,0.0
Ridge(one-hot),50,11,0.23333333333333334,0.17499999999999996,0.18000000000000002,0.4499999999999999,0.25,0.25
Ridge(compact),50,11,0.29999999999999993,0.22499999999999995,0.19,0.4749999999999999,0.0,0.5
MutCount (0 labels),50,12,0.23500000000000001,0.17624999999999996,0.09850000000000002,0.24625000000000002,0.4000000000000001,0.4000000000000001
Random,50,12,0.0,0.0,0.010000000000000002,0.025000000000000005,0.0,0.0
Ridge(one-hot),50,12,0.20000000000000004,0.14999999999999997,0.16000000000000003,0.4000000000000001,0.20000000000000004,0.20000000000000004
Ridge(compact),50,12,0.20000000000000004,0.14999999999999997,0.19,0.4749999999999999,0.20000000000000004,0.4000000000000001
MutCount (0 labels),50,13,0.23833333333333334,0.17874999999999996,0.10550000000000001,0.26375000000000004,0.4000000000000001,0.4000000000000001
Random,50,13,0.03333333333333333,0.025000000000000005,0.030000000000000006,0.07499999999999998,0.0,0.20000000000000004
Ridge(one-hot),50,13,0.20000000000000004,0.14999999999999997,0.14999999999999997,0.375,0.0,0.20000000000000004
Ridge(compact),50,13,0.20000000000000004,0.14999999999999997,0.14999999999999997,0.375,0.0,0.20000000000000004
MutCount (0 labels),50,14,0.24,0.17999999999999997,0.10550000000000001,0.26375000000000004,0.4000000000000001,0.4000000000000001
Random,50,14,0.03333333333333333,0.025000000000000005,0.030000000000000006,0.07499999999999998,0.0,0.0
Ridge(one-hot),50,14,0.26666666666666666,0.20000000000000004,0.14000000000000004,0.3499999999999999,0.0,0.20000000000000004
Ridge(compact),50,14,0.26666666666666666,0.20000000000000004,0.24000000000000005,0.5999999999999999,0.0,0.5999999999999999
MutCount (0 labels),50,15,0.24,0.175609756097561,0.10700000000000001,0.2609756097560976,0.4000000000000001,0.4000000000000001
Random,50,15,0.03333333333333333,0.02439024390243903,0.030000000000000006,0.07317073170731708,0.0,0.0
Ridge(one-hot),50,15,0.20000000000000004,0.14634146341463417,0.14999999999999997,0.3658536585365854,0.20000000000000004,0.4000000000000001
Ridge(compact),50,15,0.23333333333333334,0.1707317073170732,0.16000000000000003,0.39024390243902446,0.0,0.4000000000000001
MutCount (0 labels),50,16,0.24,0.1714285714285714,0.10650000000000001,0.25357142857142856,0.4000000000000001,0.4000000000000001
Random,50,16,0.0,0.0,0.020000000000000004,0.04761904761904763,0.0,0.20000000000000004
Ridge(one-hot),50,16,0.16666666666666663,0.11904761904761904,0.12999999999999998,0.3095238095238095,0.20000000000000004,0.4000000000000001
Ridge(compact),50,16,0.20000000000000004,0.14285714285714285,0.16000000000000003,0.38095238095238104,0.20000000000000004,0.5999999999999999
MutCount (0 labels),50,17,0.2416666666666667,0.17682926829268295,0.09550000000000002,0.23292682926829272,0.4000000000000001,0.4000000000000001
Random,50,17,0.03333333333333333,0.02439024390243903,0.04000000000000001,0.09756097560975611,0.20000000000000004,0.4000000000000001
Ridge(one-hot),50,17,0.26666666666666666,0.19512195121951223,0.16999999999999998,0.41463414634146345,0.20000000000000004,0.4000000000000001
Ridge(compact),50,17,0.26666666666666666,0.19512195121951223,0.20000000000000004,0.4878048780487806,0.4000000000000001,0.5999999999999999
MutCount (0 labels),50,18,0.2066666666666667,0.15897435897435894,0.08700000000000001,0.2230769230769231,0.25,0.25
Random,50,18,0.03333333333333333,0.025641025641025644,0.030000000000000006,0.07692307692307691,0.0,0.0
Ridge(one-hot),50,18,0.23333333333333334,0.17948717948717946,0.20000000000000004,0.5128205128205128,0.0,0.5
Ridge(compact),50,18,0.26666666666666666,0.20512820512820515,0.18000000000000002,0.46153846153846156,0.25,0.5
MutCount (0 labels),50,19,0.23833333333333334,0.17439024390243904,0.10850000000000001,0.2646341463414635,0.4000000000000001,0.4000000000000001
Random,50,19,0.03333333333333333,0.02439024390243903,0.030000000000000006,0.07317073170731708,0.0,0.0
Ridge(one-hot),50,19,0.26666666666666666,0.19512195121951223,0.16999999999999998,0.41463414634146345,0.20000000000000004,0.4000000000000001
Ridge(compact),50,19,0.33333333333333326,0.2439024390243903,0.16999999999999998,0.41463414634146345,0.20000000000000004,0.4000000000000001
MutCount (0 labels),100,0,0.13333333333333333,0.11111111111111112,0.05900000000000001,0.1638888888888889,0.4000000000000001,0.4000000000000001
Random,100,0,0.0,0.0,0.030000000000000006,0.08333333333333331,0.0,0.20000000000000004
Ridge(one-hot),100,0,0.13333333333333333,0.11111111111111112,0.18000000000000002,0.5,0.0,0.8000000000000002
Ridge(compact),100,0,0.13333333333333333,0.11111111111111112,0.20000000000000004,0.5555555555555556,0.0,1.0
MutCount (0 labels),100,1,0.24333333333333335,0.18717948717948713,0.09850000000000002,0.25256410256410255,0.5,0.5
Random,100,1,0.06666666666666667,0.05128205128205129,0.05000000000000001,0.1282051282051282,0.0,0.0
Ridge(one-hot),100,1,0.23333333333333334,0.17948717948717946,0.14000000000000004,0.3589743589743589,0.0,0.25
Ridge(compact),100,1,0.23333333333333334,0.17948717948717946,0.14000000000000004,0.3589743589743589,0.0,0.25
MutCount (0 labels),100,2,0.24166666666666664,0.18589743589743588,0.10750000000000001,0.27564102564102566,0.4000000000000001,0.4000000000000001
Random,100,2,0.0,0.0,0.0,0.0,0.0,0.0
Ridge(one-hot),100,2,0.20000000000000004,0.15384615384615383,0.12000000000000002,0.30769230769230765,0.0,0.20000000000000004
Ridge(compact),100,2,0.23333333333333334,0.17948717948717946,0.14999999999999997,0.3846153846153847,0.0,0.0
MutCount (0 labels),100,3,0.21166666666666673,0.17162162162162165,0.09700000000000002,0.26216216216216215,0.4000000000000001,0.4000000000000001
Random,100,3,0.0,0.0,0.010000000000000002,0.02702702702702703,0.0,0.0
Ridge(one-hot),100,3,0.23333333333333334,0.18918918918918917,0.16000000000000003,0.43243243243243246,0.20000000000000004,0.4000000000000001
Ridge(compact),100,3,0.26666666666666666,0.21621621621621623,0.16999999999999998,0.4594594594594595,0.20000000000000004,0.5999999999999999
MutCount (0 labels),100,4,0.24166666666666664,0.17682926829268295,0.10800000000000001,0.26341463414634153,0.4000000000000001,0.4000000000000001
Random,100,4,0.03333333333333333,0.02439024390243903,0.020000000000000004,0.04878048780487806,0.0,0.0
Ridge(one-hot),100,4,0.16666666666666663,0.12195121951219515,0.18000000000000002,0.4390243902439025,0.4000000000000001,0.4000000000000001
Ridge(compact),100,4,0.13333333333333333,0.09756097560975611,0.19,0.46341463414634143,0.20000000000000004,0.4000000000000001
MutCount (0 labels),100,5,0.18,0.15,0.0855,0.2375,0.5,0.5
Random,100,5,0.0,0.0,0.030000000000000006,0.08333333333333331,0.0,0.0
Ridge(one-hot),100,5,0.29999999999999993,0.25,0.19,0.5277777777777779,0.75,0.75
Ridge(compact),100,5,0.23333333333333334,0.19444444444444448,0.20000000000000004,0.5555555555555556,0.25,1.0
