method,N,seed,near_P@30,near_Recall@30,near_P@100,near_Recall@100,strict_Recall@30,strict_Recall@100
Ridge(compact),50,8,0.16666666666666663,0.20833333333333334,0.20000000000000004,0.8333333333333334,0.4000000000000001,1.0
MutCount (0 labels),50,9,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,9,0.10000000000000002,0.125,0.08000000000000002,0.33333333333333326,0.0,0.20000000000000004
Ridge(compact),50,9,0.10000000000000002,0.125,0.16000000000000003,0.6666666666666665,0.20000000000000004,0.8000000000000002
MutCount (0 labels),50,10,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,10,0.10000000000000002,0.125,0.10000000000000002,0.4166666666666667,0.20000000000000004,0.4000000000000001
Ridge(compact),50,10,0.16666666666666663,0.20833333333333334,0.14999999999999997,0.625,0.0,0.20000000000000004
MutCount (0 labels),50,11,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,11,0.10000000000000002,0.125,0.04000000000000001,0.16666666666666663,0.0,0.0
Ridge(compact),50,11,0.20000000000000004,0.25,0.14000000000000004,0.5833333333333335,0.0,0.20000000000000004
MutCount (0 labels),50,12,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,12,0.06666666666666667,0.08333333333333331,0.07000000000000002,0.29166666666666674,0.20000000000000004,0.20000000000000004
Ridge(compact),50,12,0.33333333333333326,0.4166666666666667,0.18000000000000002,0.75,0.5999999999999999,0.8000000000000002
MutCount (0 labels),50,13,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,13,0.10000000000000002,0.125,0.10000000000000002,0.4166666666666667,0.0,0.5999999999999999
Ridge(compact),50,13,0.13333333333333333,0.16666666666666663,0.14999999999999997,0.625,0.0,0.5999999999999999
