method,N,mean,ci,lo,hi,n_seeds,metric
Ridge(parent-Δ),20,0.24166666666666664,0.03103559548541807,0.21063107118124857,0.2727022621520847,20,near_P@30
Ridge(parent-Δ),50,0.23833333333333334,0.028150850952621743,0.2101824823807116,0.2664841842859551,20,near_P@30
Ridge(parent-Δ),100,0.285,0.024844305829782046,0.26015569417021794,0.309844305829782,20,near_P@30
Ridge(parent-Δ),200,0.3216666666666666,0.015193188686254784,0.3064734779804118,0.3368598553529214,20,near_P@30
Ridge(parent-Δ),500,0.33999999999999997,0.02098389245802739,0.31901610754197257,0.36098389245802737,20,near_P@30
C1-Rank(parent-Δ),20,0.6100000000000001,0.10819783050651148,0.5018021694934887,0.7181978305065115,20,strict_Recall@100
C1-Rank(parent-Δ),50,0.85,0.07456681920476285,0.7754331807952372,0.9245668192047628,20,strict_Recall@100
C1-Rank(parent-Δ),100,0.8700000000000001,0.06531613808804715,0.804683861911953,0.9353161380880473,20,strict_Recall@100
C1-Rank(parent-Δ),200,0.9200000000000002,0.05243831463829917,0.867561685361701,0.9724383146382993,20,strict_Recall@100
C1-Rank(parent-Δ),500,0.93,0.05146534858779407,0.878534651412206,0.9814653485877941,20,strict_Recall@100
GP(compact),20,0.66,0.11410960566605756,0.5458903943339425,0.7741096056660576,20,strict_Recall@100
GP(compact),50,0.85,0.07980581696250362,0.7701941830374963,0.9298058169625036,20,strict_Recall@100
GP(compact),100,0.8400000000000001,0.06729817390186986,0.7727018260981302,0.90729817390187,20,strict_Recall@100
GP(compact),200,0.9100000000000001,0.05301352359738526,0.8569864764026149,0.9630135235973853,20,strict_Recall@100
GP(compact),500,0.9,0.04496548383863007,0.8550345161613699,0.9449654838386301,20,strict_Recall@100
MutCount (0 labels),20,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),50,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),100,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),200,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),500,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
Random,20,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,50,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,100,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,200,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,500,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Ridge(compact),20,0.6900000000000001,0.11187282253100005,0.578127177469,0.8018728225310001,20,strict_Recall@100
Ridge(compact),50,0.8400000000000001,0.09258959814261279,0.7474104018573873,0.9325895981426129,20,strict_Recall@100
Ridge(compact),100,0.9100000000000001,0.04474009152285767,0.8652599084771425,0.9547400915228578,20,strict_Recall@100
Ridge(compact),200,0.9800000000000001,0.026979290303178038,0.9530207096968221,1.0069792903031782,20,strict_Recall@100
Ridge(compact),500,0.99,0.019599999999999992,0.9704,1.0096,20,strict_Recall@100
Ridge(parent-Δ),20,0.67,0.11114754537148025,0.5588524546285198,0.7811475453714802,20,strict_Recall@100
Ridge(parent-Δ),50,0.8,0.08531600701293739,0.7146839929870626,0.8853160070129374,20,strict_Recall@100
Ridge(parent-Δ),100,0.86,0.07023833111552934,0.7897616688844706,0.9302383311155293,20,strict_Recall@100
Ridge(parent-Δ),200,0.95,0.03894125129771224,0.9110587487022878,0.9889412512977122,20,strict_Recall@100
